MEAN_RR,MEDIAN_RR,SDRR,RMSSD,condition,FID,results
731,728,62.44083206,12.84789687,no stress,731-728-62.44083206-12.84789687,0
802,806,69.38870115,15.98726176,no stress,802-806-69.38870115-15.98726176,0
632,662,114.207098,16.53317752,no stress,632-662-114.207098-16.53317752,0
794,798,31.18342371,7.456353947,no stress,794-798-31.18342371-7.456353947,0
772,769,45.29506014,11.01903959,no stress,772-769-45.29506014-11.01903959,0
887,884,68.64781887,12.3159786,no stress,887-884-68.64781887-12.3159786,0
808,818,82.77072069,13.94790709,interruption,808-818-82.77072069-13.94790709,1
871,796,244.81553849999997,16.26500617,time pressure,871-796-244.8155385-16.26500617,1
955,962,130.23502549999998,21.04674581,no stress,955-962-130.2350255-21.04674581,0
1018,1019,99.90553333,21.85378389,no stress,1018-1019-99.90553333-21.85378389,0
705,741,137.2432581,15.84244309,no stress,705-741-137.2432581-15.84244309,0
877,851,98.02507854,10.87647453,time pressure,877-851-98.02507854-10.87647453,1
728,730,36.92348693,10.05212739,no stress,728-730-36.92348693-10.05212739,0
715,708,60.61734058,9.421410274,no stress,715-708-60.61734058-9.421410274,0
782,735,155.0222914,14.39130686,no stress,782-735-155.0222914-14.39130686,0
842,835,70.89635658,13.47037482,time pressure,842-835-70.89635658-13.47037482,1
729,727,43.14160549,9.647831958,no stress,729-727-43.14160549-9.647831958,0
792,802,83.38691986,13.78147693,no stress,792-802-83.38691986-13.78147693,0
861,900,163.73638830000002,20.24172774,time pressure,861-900-163.7363883-20.24172774,1
1070,1072,195.1441705,18.19320414,interruption,1070-1072-195.1441705-18.19320414,1
1122,1241,389.19307630000003,20.17574068,no stress,1122-1241-389.1930763-20.17574068,0
922,927,89.95466864,14.13511588,interruption,922-927-89.95466864-14.13511588,1
721,718,64.10634479,14.55029447,no stress,721-718-64.10634479-14.55029447,0
895,891,75.03412275,11.40326298,no stress,895-891-75.03412275-11.40326298,0
866,882,103.610831,13.69054931,time pressure,866-882-103.610831-13.69054931,1
809,812,63.67208588,19.48924751,no stress,809-812-63.67208588-19.48924751,0
731,586,243.4580469,10.82213792,no stress,731-586-243.4580469-10.82213792,0
1048,1047,99.10469225,22.85504199,no stress,1048-1047-99.10469225-22.85504199,0
781,775,52.36278348,11.98145213,no stress,781-775-52.36278348-11.98145213,0
779,787,97.64180662,15.88098677,interruption,779-787-97.64180662-15.88098677,1
747,781,153.9055171,15.696105300000001,no stress,747-781-153.9055171-15.6961053,0
979,1000,104.2802297,14.92745513,time pressure,979-1000-104.2802297-14.92745513,1
931,797,308.21763930000003,16.55887852,interruption,931-797-308.2176393-16.55887852,1
817,822,80.77205603,10.38094536,no stress,817-822-80.77205603-10.38094536,0
780,773,52.12579398,12.02154413,no stress,780-773-52.12579398-12.02154413,0
885,882,53.30687523,9.062681954,interruption,885-882-53.30687523-9.062681954,1
923,923,80.15144217,13.54817753,interruption,923-923-80.15144217-13.54817753,1
724,715,70.54101774,22.52233602,no stress,724-715-70.54101774-22.52233602,0
839,844,162.79889419999998,15.32122474,no stress,839-844-162.7988942-15.32122474,0
899,920,94.84119763,16.7962724,no stress,899-920-94.84119763-16.7962724,0
683,695,157.2424425,15.42447277,no stress,683-695-157.2424425-15.42447277,0
918,928,155.8972125,16.30728544,no stress,918-928-155.8972125-16.30728544,0
862,866,61.67010309,14.02131555,no stress,862-866-61.67010309-14.02131555,0
919,864,159.0059984,14.59522022,no stress,919-864-159.0059984-14.59522022,0
815,830,77.29129250000001,11.40177232,interruption,815-830-77.2912925-11.40177232,1
699,694,43.16007364,10.27862264,no stress,699-694-43.16007364-10.27862264,0
953,958,66.49142468,11.9511388,time pressure,953-958-66.49142468-11.9511388,1
664,682,99.70910443,16.41895583,no stress,664-682-99.70910443-16.41895583,0
933,927,64.07234581,12.04485619,no stress,933-927-64.07234581-12.04485619,0
562,555,41.50280217,7.887246043999999,time pressure,562-555-41.50280217-7.887246044,1
738,745,86.2520848,12.01036848,no stress,738-745-86.2520848-12.01036848,0
1068,1073,97.20470978,22.11053631,no stress,1068-1073-97.20470978-22.11053631,0
921,865,258.3127499,19.064248000000003,interruption,921-865-258.3127499-19.064248,1
883,883,74.05126948,12.91866765,no stress,883-883-74.05126948-12.91866765,0
917,936,116.3895331,17.78589361,no stress,917-936-116.3895331-17.78589361,0
788,791,44.16049216,12.64042083,no stress,788-791-44.16049216-12.64042083,0
950,945,102.21054009999999,21.99635116,interruption,950-945-102.2105401-21.99635116,1
1059,1049,196.73026969999998,18.58919166,interruption,1059-1049-196.7302697-18.58919166,1
790,796,64.35796579,13.58930653,no stress,790-796-64.35796579-13.58930653,0
936,930,96.28242065,21.79677781,interruption,936-930-96.28242065-21.79677781,1
881,886,110.55868670000001,15.7698304,no stress,881-886-110.5586867-15.7698304,0
709,700,74.06638787,21.04017067,no stress,709-700-74.06638787-21.04017067,0
713,705,60.89395545,9.317237736000001,no stress,713-705-60.89395545-9.317237736,0
1006,1006,90.19465261,22.93636894,interruption,1006-1006-90.19465261-22.93636894,1
958,949,179.6915014,16.85687213,time pressure,958-949-179.6915014-16.85687213,1
954,950,167.8130487,19.04447211,time pressure,954-950-167.8130487-19.04447211,1
623,654,113.8773227,17.23211331,no stress,623-654-113.8773227-17.23211331,0
886,887,65.90297079999999,10.40639521,no stress,886-887-65.9029708-10.40639521,0
791,790,73.55987115,12.420702499999999,interruption,791-790-73.55987115-12.4207025,1
780,789,45.02305999,7.531021022999999,no stress,780-789-45.02305999-7.531021023,0
701,695,68.8014364,20.43204247,no stress,701-695-68.8014364-20.43204247,0
798,799,69.75019367,19.25082873,no stress,798-799-69.75019367-19.25082873,0
813,811,54.31620741,12.743497900000001,interruption,813-811-54.31620741-12.7434979,1
1036,1029,124.50080829999999,22.74060746,interruption,1036-1029-124.5008083-22.74060746,1
702,692,112.1906429,11.77246454,no stress,702-692-112.1906429-11.77246454,0
806,818,80.17209685,11.497221099999999,interruption,806-818-80.17209685-11.4972211,1
1004,999,145.6877996,18.24451114,interruption,1004-999-145.6877996-18.24451114,1
981,988,87.16885412,19.02586486,time pressure,981-988-87.16885412-19.02586486,1
729,727,38.73326083,10.03573071,no stress,729-727-38.73326083-10.03573071,0
922,804,322.6473807,19.60144867,no stress,922-804-322.6473807-19.60144867,0
927,938,83.75315487,12.59970617,interruption,927-938-83.75315487-12.59970617,1
882,882,46.05444492,9.138410741,interruption,882-882-46.05444492-9.138410741,1
1042,1055,125.3828848,20.98976896,no stress,1042-1055-125.3828848-20.98976896,0
802,817,84.16359287,13.96758136,interruption,802-817-84.16359287-13.96758136,1
1019,1020,99.78268277,21.83520054,no stress,1019-1020-99.78268277-21.83520054,0
1045,1049,158.4619751,15.53612913,time pressure,1045-1049-158.4619751-15.53612913,1
850,856,63.58703998,12.75565899,no stress,850-856-63.58703998-12.75565899,0
813,822,58.52640285,14.90277781,interruption,813-822-58.52640285-14.90277781,1
770,771,40.79051365,9.310327551,interruption,770-771-40.79051365-9.310327551,1
987,972,171.87645980000002,16.94696651,time pressure,987-972-171.8764598-16.94696651,1
676,684,154.763614,14.71796326,no stress,676-684-154.763614-14.71796326,0
1027,1031,103.7444032,23.92642994,no stress,1027-1031-103.7444032-23.92642994,0
736,738,53.01261238,9.341192031,interruption,736-738-53.01261238-9.341192031,1
1067,1062,92.00007687,17.28606744,interruption,1067-1062-92.00007687-17.28606744,1
691,686,41.34143622,9.443949692999999,no stress,691-686-41.34143622-9.443949693,0
747,729,104.5778929,13.34783396,time pressure,747-729-104.5778929-13.34783396,1
1213,1139,300.4460524,16.45824514,interruption,1213-1139-300.4460524-16.45824514,1
754,753,81.44302031,23.97665018,interruption,754-753-81.44302031-23.97665018,1
861,857,70.08859222,15.24575128,no stress,861-857-70.08859222-15.24575128,0
899,885,104.98448130000001,14.21785678,no stress,899-885-104.9844813-14.21785678,0
893,896,70.300014,12.8016409,no stress,893-896-70.300014-12.8016409,0
866,878,89.3354937,13.21030577,time pressure,866-878-89.3354937-13.21030577,1
1124,1181,353.3436591,15.12925603,no stress,1124-1181-353.3436591-15.12925603,0
762,653,258.85517450000003,19.17693266,no stress,762-653-258.8551745-19.17693266,0
783,789,73.07954463,11.20645266,no stress,783-789-73.07954463-11.20645266,0
1253,1224,295.54938639999995,15.41402642,time pressure,1253-1224-295.5493864-15.41402642,1
729,727,38.65167905,10.05814998,no stress,729-727-38.65167905-10.05814998,0
992,1004,106.58603319999999,21.57245499,interruption,992-1004-106.5860332-21.57245499,1
752,761,64.801872,9.894561047,no stress,752-761-64.801872-9.894561047,0
1027,1027,94.11991118,22.74118996,no stress,1027-1027-94.11991118-22.74118996,0
951,946,81.15586496,12.572342800000001,no stress,951-946-81.15586496-12.5723428,0
727,730,36.83692586,9.820981294,no stress,727-730-36.83692586-9.820981294,0
1190,1168,228.3416341,17.9647115,time pressure,1190-1168-228.3416341-17.9647115,1
627,544,194.25321110000002,16.88053775,interruption,627-544-194.2532111-16.88053775,1
936,927,97.83385044,14.60323591,time pressure,936-927-97.83385044-14.60323591,1
681,688,80.71983395,15.14388903,no stress,681-688-80.71983395-15.14388903,0
759,757,58.65502429,9.596647167999999,interruption,759-757-58.65502429-9.596647168,1
763,766,51.80169387,9.502237442,interruption,763-766-51.80169387-9.502237442,1
888,880,91.62318603,12.7241569,no stress,888-880-91.62318603-12.7241569,0
794,790,49.142963200000004,12.17320376,no stress,794-790-49.1429632-12.17320376,0
1002,1020,128.30361509999997,18.9429518,time pressure,1002-1020-128.3036151-18.9429518,1
841,841,57.558619900000004,13.19161586,time pressure,841-841-57.5586199-13.19161586,1
716,716,34.17668312,9.431290651,no stress,716-716-34.17668312-9.431290651,0
748,779,124.9571919,13.73464983,no stress,748-779-124.9571919-13.73464983,0
1023,1024,71.84913397,19.76187992,interruption,1023-1024-71.84913397-19.76187992,1
1008,1021,88.58444648,14.71306342,time pressure,1008-1021-88.58444648-14.71306342,1
1013,1048,308.1246178,16.58688363,interruption,1013-1048-308.1246178-16.58688363,1
1093,1125,159.5168395,17.85709337,time pressure,1093-1125-159.5168395-17.85709337,1
763,766,59.11737748,9.517725626,interruption,763-766-59.11737748-9.517725626,1
779,777,92.67193125,25.92572499,interruption,779-777-92.67193125-25.92572499,1
758,788,124.31324640000001,15.21736814,time pressure,758-788-124.3132464-15.21736814,1
721,720,69.21099438,12.5047597,no stress,721-720-69.21099438-12.5047597,0
729,740,71.59348409999998,11.31963587,no stress,729-740-71.5934841-11.31963587,0
967,970,124.24243229999999,21.53342829,no stress,967-970-124.2424323-21.53342829,0
678,676,41.34319919,8.671060828,no stress,678-676-41.34319919-8.671060828,0
945,937,115.57021999999999,15.04121325,no stress,945-937-115.57022-15.04121325,0
971,924,266.20487430000003,21.92977625,time pressure,971-924-266.2048743-21.92977625,1
581,577,31.14518294,5.552929937999999,no stress,581-577-31.14518294-5.552929938,0
902,839,174.97867130000003,16.1325748,time pressure,902-839-174.9786713-16.1325748,1
1318,1653,534.3849398,12.85066684,no stress,1318-1653-534.3849398-12.85066684,0
728,731,38.02851678,10.109605199999999,no stress,728-731-38.02851678-10.1096052,0
925,935,82.61109391,12.40434918,interruption,925-935-82.61109391-12.40434918,1
943,931,156.0650124,15.47603024,time pressure,943-931-156.0650124-15.47603024,1
850,821,131.6507556,14.54203331,no stress,850-821-131.6507556-14.54203331,0
665,659,47.44265095,9.238332947,no stress,665-659-47.44265095-9.238332947,0
613,594,71.28603491,8.724643863999999,no stress,613-594-71.28603491-8.724643864,0
804,805,63.13449894,14.74903986,no stress,804-805-63.13449894-14.74903986,0
758,755,91.30695027,24.91712435,interruption,758-755-91.30695027-24.91712435,1
783,783,81.72777578,26.15277689,interruption,783-783-81.72777578-26.15277689,1
652,678,109.70043359999998,16.61973294,no stress,652-678-109.7004336-16.61973294,0
645,678,113.32658070000001,14.66223185,no stress,645-678-113.3265807-14.66223185,0
783,788,53.652573700000005,13.4768087,no stress,783-788-53.6525737-13.4768087,0
1020,1021,102.0300102,23.65716524,no stress,1020-1021-102.0300102-23.65716524,0
1022,1025,255.47870099999997,19.45989903,time pressure,1022-1025-255.478701-19.45989903,1
883,888,107.1738377,17.7009324,time pressure,883-888-107.1738377-17.7009324,1
749,644,253.4743486,18.99202052,no stress,749-644-253.4743486-18.99202052,0
910,936,107.6824071,11.18401548,no stress,910-936-107.6824071-11.18401548,0
1005,1006,82.99926909,21.38520851,interruption,1005-1006-82.99926909-21.38520851,1
892,888,65.87440333,11.764259,no stress,892-888-65.87440333-11.764259,0
744,745,47.65666759,10.79256701,no stress,744-745-47.65666759-10.79256701,0
782,783,52.46428469,11.69991315,interruption,782-783-52.46428469-11.69991315,1
897,910,85.69735225,17.7479331,interruption,897-910-85.69735225-17.7479331,1
923,874,309.3503276,17.97721941,no stress,923-874-309.3503276-17.97721941,0
671,663,100.1825067,11.65917425,no stress,671-663-100.1825067-11.65917425,0
942,928,119.5626135,16.20312361,no stress,942-928-119.5626135-16.20312361,0
817,825,90.02806684,16.83791748,no stress,817-825-90.02806684-16.83791748,0
746,749,69.14796524,10.47196979,no stress,746-749-69.14796524-10.47196979,0
940,933,97.22138248,21.81123256,interruption,940-933-97.22138248-21.81123256,1
767,766,56.57046184,10.9575537,no stress,767-766-56.57046184-10.9575537,0
766,766,51.63629029,10.21046603,interruption,766-766-51.63629029-10.21046603,1
677,676,41.3584522,8.945737334,no stress,677-676-41.3584522-8.945737334,0
727,728,37.31256133,10.02040596,no stress,727-728-37.31256133-10.02040596,0
914,796,326.4056771,19.16877566,interruption,914-796-326.4056771-19.16877566,1
983,992,107.89447949999999,23.3561235,interruption,983-992-107.8944795-23.3561235,1
724,713,73.82914974,22.40400294,no stress,724-713-73.82914974-22.40400294,0
893,826,254.6600495,17.87748141,no stress,893-826-254.6600495-17.87748141,0
776,795,99.25113204,13.00999513,no stress,776-795-99.25113204-13.00999513,0
941,936,72.29172817,20.66003691,interruption,941-936-72.29172817-20.66003691,1
797,801,77.64849376,15.74811938,no stress,797-801-77.64849376-15.74811938,0
726,726,35.60260841,9.932753352,no stress,726-726-35.60260841-9.932753352,0
1061,1063,89.21618177,21.01023588,interruption,1061-1063-89.21618177-21.01023588,1
915,936,105.63117720000001,17.56546465,no stress,915-936-105.6311772-17.56546465,0
928,806,315.57006980000006,16.22880514,no stress,928-806-315.5700698-16.22880514,0
756,767,87.23837458,13.33613161,interruption,756-767-87.23837458-13.33613161,1
795,796,45.57755211,13.38054458,no stress,795-796-45.57755211-13.38054458,0
733,733,63.06614156,9.740761224,no stress,733-733-63.06614156-9.740761224,0
994,999,109.85130490000002,23.46676915,interruption,994-999-109.8513049-23.46676915,1
689,580,228.5033668,8.462784279,no stress,689-580-228.5033668-8.462784279,0
820,826,81.90662102,13.61235409,interruption,820-826-81.90662102-13.61235409,1
735,700,141.9940718,19.69489091,no stress,735-700-141.9940718-19.69489091,0
942,996,194.7146491,17.8173815,interruption,942-996-194.7146491-17.8173815,1
749,730,107.40453640000001,9.994102565,no stress,749-730-107.4045364-9.994102565,0
707,656,170.70638080000003,17.02689196,no stress,707-656-170.7063808-17.02689196,0
858,863,60.86444698,13.66752549,no stress,858-863-60.86444698-13.66752549,0
873,847,96.86156446,10.93305146,time pressure,873-847-96.86156446-10.93305146,1
785,785,70.23179905,12.52938663,no stress,785-785-70.23179905-12.52938663,0
960,816,322.8288515,16.97602673,no stress,960-816-322.8288515-16.97602673,0
1097,1130,159.425275,18.459267699999998,time pressure,1097-1130-159.425275-18.4592677,1
975,992,96.67942542,17.33874298,time pressure,975-992-96.67942542-17.33874298,1
1007,1010,83.12712395,21.36687409,interruption,1007-1010-83.12712395-21.36687409,1
847,852,67.61030174,19.18609374,interruption,847-852-67.61030174-19.18609374,1
864,866,68.54697275,16.79788107,no stress,864-866-68.54697275-16.79788107,0
718,677,156.5983428,14.89945204,no stress,718-677-156.5983428-14.89945204,0
757,763,70.93935435,11.97760435,interruption,757-763-70.93935435-11.97760435,1
817,816,54.6396074,18.84418515,no stress,817-816-54.6396074-18.84418515,0
764,767,44.77389183,9.725773187,interruption,764-767-44.77389183-9.725773187,1
790,801,84.46678155,13.19531173,no stress,790-801-84.46678155-13.19531173,0
721,720,36.75314696,9.692466729,no stress,721-720-36.75314696-9.692466729,0
925,813,330.12226119999997,18.95006451,interruption,925-813-330.1222612-18.95006451,1
665,660,46.91689381,9.015472636,no stress,665-660-46.91689381-9.015472636,0
738,741,51.23442265,9.221652345,interruption,738-741-51.23442265-9.221652345,1
976,995,103.5089832,14.77319658,time pressure,976-995-103.5089832-14.77319658,1
847,846,68.52056692,10.64213041,no stress,847-846-68.52056692-10.64213041,0
837,865,132.7467148,14.83928944,no stress,837-865-132.7467148-14.83928944,0
752,763,69.85465128,11.04878194,interruption,752-763-69.85465128-11.04878194,1
1020,1018,103.8635473,23.8794426,no stress,1020-1018-103.8635473-23.8794426,0
795,803,96.96695667,18.73823466,no stress,795-803-96.96695667-18.73823466,0
792,796,101.88835809999999,16.01629143,interruption,792-796-101.8883581-16.01629143,1
778,771,61.27984818,15.07745693,interruption,778-771-61.27984818-15.07745693,1
814,814,52.33118122,17.03907122,no stress,814-814-52.33118122-17.03907122,0
720,719,36.87418115,9.551406038,no stress,720-719-36.87418115-9.551406038,0
726,727,76.56029712,10.27250032,no stress,726-727-76.56029712-10.27250032,0
978,994,93.78729052,17.55267549,time pressure,978-994-93.78729052-17.55267549,1
810,826,149.6674751,13.52585088,interruption,810-826-149.6674751-13.52585088,1
855,857,62.24729648,14.97356551,no stress,855-857-62.24729648-14.97356551,0
722,719,64.32734755,14.91057104,no stress,722-719-64.32734755-14.91057104,0
729,730,38.37009241,9.993899055,no stress,729-730-38.37009241-9.993899055,0
804,810,75.95953294,14.6400418,interruption,804-810-75.95953294-14.6400418,1
702,710,70.73178609,17.44843253,no stress,702-710-70.73178609-17.44843253,0
757,772,105.393951,17.37709091,no stress,757-772-105.393951-17.37709091,0
679,681,80.08472463,14.98466416,no stress,679-681-80.08472463-14.98466416,0
1022,1011,167.52695669999997,16.73263651,interruption,1022-1011-167.5269567-16.73263651,1
987,993,82.57023466,20.55454624,time pressure,987-993-82.57023466-20.55454624,1
919,930,92.40291099,16.83674768,time pressure,919-930-92.40291099-16.83674768,1
624,654,113.27646940000001,16.69517849,no stress,624-654-113.2764694-16.69517849,0
797,826,131.0652095,16.30153299,no stress,797-826-131.0652095-16.30153299,0
733,755,84.89195088,15.42848455,no stress,733-755-84.89195088-15.42848455,0
993,1004,100.24602929999999,20.13332982,interruption,993-1004-100.2460293-20.13332982,1
892,888,64.78238937,11.24287436,no stress,892-888-64.78238937-11.24287436,0
657,658,79.98523370000001,11.87920335,no stress,657-658-79.9852337-11.87920335,0
898,909,95.87228521,10.99293681,time pressure,898-909-95.87228521-10.99293681,1
820,820,52.36258727,17.87924138,no stress,820-820-52.36258727-17.87924138,0
749,693,166.890286,10.23229527,no stress,749-693-166.890286-10.23229527,0
1063,1029,302.3777243,17.21352589,no stress,1063-1029-302.3777243-17.21352589,0
934,949,129.7026745,15.90112856,no stress,934-949-129.7026745-15.90112856,0
1157,1256,377.2247156,16.73561092,no stress,1157-1256-377.2247156-16.73561092,0
843,612,471.5137347,11.16831532,no stress,843-612-471.5137347-11.16831532,0
967,980,103.1046866,14.68518048,time pressure,967-980-103.1046866-14.68518048,1
885,896,103.0567162,14.21570948,no stress,885-896-103.0567162-14.21570948,0
787,790,68.75267782,15.34854689,no stress,787-790-68.75267782-15.34854689,0
1003,999,143.54198780000002,18.29379905,interruption,1003-999-143.5419878-18.29379905,1
1096,1129,159.32778169999997,18.30471654,time pressure,1096-1129-159.3277817-18.30471654,1
924,937,97.49255666,12.25736345,interruption,924-937-97.49255666-12.25736345,1
774,725,158.9335834,13.73503517,no stress,774-725-158.9335834-13.73503517,0
1023,1025,102.1547457,21.75946224,no stress,1023-1025-102.1547457-21.75946224,0
801,751,294.90419289999994,16.07695595,no stress,801-751-294.9041929-16.07695595,0
881,895,99.02121341,12.99286715,no stress,881-895-99.02121341-12.99286715,0
791,785,66.14621996,14.16156561,no stress,791-785-66.14621996-14.16156561,0
724,723,57.88131602,9.565587237,no stress,724-723-57.88131602-9.565587237,0
957,965,132.71373490000002,21.21471651,no stress,957-965-132.7137349-21.21471651,0
1046,1047,99.37588765,22.944335600000002,no stress,1046-1047-99.37588765-22.9443356,0
957,814,326.0887243,16.89425104,no stress,957-814-326.0887243-16.89425104,0
675,693,97.2683903,19.31080716,no stress,675-693-97.2683903-19.31080716,0
969,959,132.5008757,14.5482356,time pressure,969-959-132.5008757-14.5482356,1
865,868,66.69805840000001,16.61140201,no stress,865-868-66.6980584-16.61140201,0
790,795,82.56283736,11.648939599999999,no stress,790-795-82.56283736-11.6489396,0
729,731,37.22937755,10.12821585,no stress,729-731-37.22937755-10.12821585,0
794,794,50.38593886,11.91553196,no stress,794-794-50.38593886-11.91553196,0
722,748,122.8194632,15.80556741,no stress,722-748-122.8194632-15.80556741,0
857,859,62.27314996,14.00993292,no stress,857-859-62.27314996-14.00993292,0
796,800,67.07607099,13.15053935,no stress,796-800-67.07607099-13.15053935,0
736,738,60.83942429,10.26028672,no stress,736-738-60.83942429-10.26028672,0
918,936,116.8089587,17.79766217,no stress,918-936-116.8089587-17.79766217,0
981,1018,161.7608132,17.99358514,time pressure,981-1018-161.7608132-17.99358514,1
1035,969,316.8239102,17.90743443,no stress,1035-969-316.8239102-17.90743443,0
849,789,227.5815478,19.16872017,interruption,849-789-227.5815478-19.16872017,1
734,736,60.18198516,9.352358171,no stress,734-736-60.18198516-9.352358171,0
892,894,99.49225023,11.02330377,time pressure,892-894-99.49225023-11.02330377,1
763,760,84.77924718,23.51734984,interruption,763-760-84.77924718-23.51734984,1
889,885,140.5701381,16.77061284,no stress,889-885-140.5701381-16.77061284,0
846,843,62.86932942,13.76098797,interruption,846-843-62.86932942-13.76098797,1
724,717,77.65374398,21.42839854,interruption,724-717-77.65374398-21.42839854,1
756,765,86.62935328,14.13130753,no stress,756-765-86.62935328-14.13130753,0
760,755,89.60501582,25.06032405,interruption,760-755-89.60501582-25.06032405,1
751,756,71.71779193,9.924396255,no stress,751-756-71.71779193-9.924396255,0
892,894,73.43794565,13.68617457,time pressure,892-894-73.43794565-13.68617457,1
1160,1241,332.14068050000003,16.95255321,no stress,1160-1241-332.1406805-16.95255321,0
911,919,75.04378169,17.39743453,interruption,911-919-75.04378169-17.39743453,1
729,727,42.7955019,9.722030855,no stress,729-727-42.7955019-9.722030855,0
797,797,45.52798334,13.39187196,no stress,797-797-45.52798334-13.39187196,0
822,822,58.03245551,20.93611257,no stress,822-822-58.03245551-20.93611257,0
786,759,235.23360630000002,19.21570946,no stress,786-759-235.2336063-19.21570946,0
895,891,75.21449789,11.40420599,no stress,895-891-75.21449789-11.40420599,0
929,945,113.356311,18.08669827,interruption,929-945-113.356311-18.08669827,1
918,871,312.71558650000003,18.07177483,no stress,918-871-312.7155865-18.07177483,0
728,729,37.64845732,9.939561503,no stress,728-729-37.64845732-9.939561503,0
800,682,341.5555206,13.52121067,no stress,800-682-341.5555206-13.52121067,0
709,701,114.27166969999999,12.00098359,no stress,709-701-114.2716697-12.00098359,0
829,833,47.32212019,9.337825021,time pressure,829-833-47.32212019-9.337825021,1
788,794,72.71806919,13.67925902,no stress,788-794-72.71806919-13.67925902,0
580,534,142.4736575,19.78214188,no stress,580-534-142.4736575-19.78214188,0
930,924,68.61158812,12.25807694,no stress,930-924-68.61158812-12.25807694,0
781,792,47.17847022,7.397651902000001,no stress,781-792-47.17847022-7.397651902,0
783,784,71.25812434,13.80253321,no stress,783-784-71.25812434-13.80253321,0
722,720,63.06003518,9.254419803,no stress,722-720-63.06003518-9.254419803,0
1009,999,152.3005593,17.87580239,interruption,1009-999-152.3005593-17.87580239,1
795,820,129.6075504,18.37254551,no stress,795-820-129.6075504-18.37254551,0
877,889,103.0108057,14.92351048,time pressure,877-889-103.0108057-14.92351048,1
1031,1028,75.78103655,18.70980924,interruption,1031-1028-75.78103655-18.70980924,1
783,784,79.00975552,26.10480233,interruption,783-784-79.00975552-26.10480233,1
933,741,367.4155462,14.34531676,no stress,933-741-367.4155462-14.34531676,0
782,787,53.55166093,13.49838636,no stress,782-787-53.55166093-13.49838636,0
893,896,70.26803739,12.79945804,no stress,893-896-70.26803739-12.79945804,0
771,767,56.80845799,9.709634934,interruption,771-767-56.80845799-9.709634934,1
719,727,72.31233286,12.22100582,no stress,719-727-72.31233286-12.22100582,0
834,843,77.46566764,19.76446722,interruption,834-843-77.46566764-19.76446722,1
858,873,96.16301481,13.36305203,time pressure,858-873-96.16301481-13.36305203,1
613,594,71.30575413,8.709174552999999,no stress,613-594-71.30575413-8.709174553,0
1084,673,543.7435027,10.27266756,no stress,1084-673-543.7435027-10.27266756,0
708,715,65.60183463,17.36967269,no stress,708-715-65.60183463-17.36967269,0
855,852,68.36527995,14.97520536,no stress,855-852-68.36527995-14.97520536,0
1172,1180,295.0221296,15.05757813,interruption,1172-1180-295.0221296-15.05757813,1
798,778,154.8017001,13.87030062,no stress,798-778-154.8017001-13.87030062,0
1168,1169,279.5396214,15.76510022,time pressure,1168-1169-279.5396214-15.76510022,1
885,889,107.405533,17.75666802,time pressure,885-889-107.405533-17.75666802,1
960,961,65.11351113,12.1293455,time pressure,960-961-65.11351113-12.1293455,1
1109,1105,117.05074240000002,19.27042315,time pressure,1109-1105-117.0507424-19.27042315,1
773,768,93.42846298,26.4700619,interruption,773-768-93.42846298-26.4700619,1
782,791,44.89771733,7.35330941,no stress,782-791-44.89771733-7.35330941,0
950,904,139.0583564,17.40517404,no stress,950-904-139.0583564-17.40517404,0
966,967,58.59276279,12.28650513,no stress,966-967-58.59276279-12.28650513,0
945,936,121.2533268,14.51220227,no stress,945-936-121.2533268-14.51220227,0
890,898,81.28682341,12.87348818,no stress,890-898-81.28682341-12.87348818,0
780,781,43.59828947,10.93999498,no stress,780-781-43.59828947-10.93999498,0
856,857,50.44382276,14.09187232,no stress,856-857-50.44382276-14.09187232,0
1031,984,215.7552687,16.15571626,time pressure,1031-984-215.7552687-16.15571626,1
1169,1229,556.3650501,10.33488073,no stress,1169-1229-556.3650501-10.33488073,0
898,883,105.02098909999998,14.0340949,no stress,898-883-105.0209891-14.0340949,0
747,747,81.80636209999999,13.04806119,no stress,747-747-81.8063621-13.04806119,0
1041,1022,175.74739350000002,17.84446859,interruption,1041-1022-175.7473935-17.84446859,1
1176,1210,320.14872330000003,17.0750348,time pressure,1176-1210-320.1487233-17.0750348,1
812,809,56.74139268,13.293061100000001,interruption,812-809-56.74139268-13.2930611,1
1067,1137,360.4048242,13.79298921,interruption,1067-1137-360.4048242-13.79298921,1
734,713,125.35017250000001,12.26593866,no stress,734-713-125.3501725-12.26593866,0
773,723,160.6220007,13.50018002,no stress,773-723-160.6220007-13.50018002,0
981,991,87.67351353,19.077052600000002,time pressure,981-991-87.67351353-19.0770526,1
728,726,61.76893252,12.63268501,no stress,728-726-61.76893252-12.63268501,0
773,785,87.23291203,13.40499324,interruption,773-785-87.23291203-13.40499324,1
804,808,68.95224087,18.38275307,no stress,804-808-68.95224087-18.38275307,0
783,782,52.49023476,10.92667821,time pressure,783-782-52.49023476-10.92667821,1
867,870,92.09142877,21.18565938,interruption,867-870-92.09142877-21.18565938,1
731,727,43.10823097,9.690022812999999,no stress,731-727-43.10823097-9.690022813,0
837,834,61.77139129,14.39174221,interruption,837-834-61.77139129-14.39174221,1
925,936,147.7863504,14.80687413,no stress,925-936-147.7863504-14.80687413,0
766,766,51.24647258,10.11499061,interruption,766-766-51.24647258-10.11499061,1
826,829,116.4943597,15.08895015,time pressure,826-829-116.4943597-15.08895015,1
837,851,95.73950836,9.338579793,no stress,837-851-95.73950836-9.338579793,0
